receiver_type,gene,test_r2
IT-ET Glut,Nr4a2,0.5870995191328218
IT-ET Glut,Shisa6,0.45193389052406374
IT-ET Glut,Kit,0.3867429202304249
IT-ET Glut,Synpr,0.3749852882488991
IT-ET Glut,Rxfp1,0.37494157616760837
IT-ET Glut,Col11a1,0.3732753556515047
IT-ET Glut,Syt17,0.3256508930755947
IT-ET Glut,Sema5a,0.31693929207872973
IT-ET Glut,Fxyd6,0.3105403402055744
IT-ET Glut,Cbln1,0.307623170574715
IT-ET Glut,Slc30a3,0.2732880060670494
IT-ET Glut,C1ql3,0.261630819061217
IT-ET Glut,Mdga1,0.2504132513879004
IT-ET Glut,Trhde,0.24385484504515909
IT-ET Glut,Nfix,0.24345399094611408
IT-ET Glut,Cd34,0.2240856698631889
IT-ET Glut,Rgs6,0.22364039733689112
IT-ET Glut,Kcng1,0.21248830389405826
IT-ET Glut,Rasgrp1,0.20982702506409123
IT-ET Glut,Ccn3,0.19994335633485227
IT-ET Glut,Bmp3,0.1844091167898606
IT-ET Glut,Scn4b,0.17823645204651672
IT-ET Glut,Syndig1,0.17632802292034233
IT-ET Glut,Epha4,0.17530981769248744
IT-ET Glut,Tmem215,0.16298184370221291
IT-ET Glut,Nrn1,0.16060474938321423
IT-ET Glut,Gda,0.1592961401433124
IT-ET Glut,Htr2a,0.1580496693424185
IT-ET Glut,Kcnab3,0.15800968739755006
IT-ET Glut,Sorcs3,0.15527639238701807
IT-ET Glut,Samd5,0.1519554034035504
IT-ET Glut,Sv2b,0.15069723270225654
IT-ET Glut,Grik3,0.13233058128518282
IT-ET Glut,Zbtb16,0.12972017262222824
IT-ET Glut,Slc17a6,0.1270089705831775
IT-ET Glut,Chrm3,0.1264439880834669
IT-ET Glut,Zeb2,0.12348820739955346
IT-ET Glut,Mkx,0.11486205472259658
IT-ET Glut,Grm1,0.11103480442830826
IT-ET Glut,Hs3st2,0.1108363373063479
IT-ET Glut,Nr4a3,0.10840238234857447
IT-ET Glut,Cacng3,0.10641791645291243
IT-ET Glut,Chrm2,0.08499703269172543
IT-ET Glut,Nfib,0.08219539820453758
IT-ET Glut,Nr2f2,0.08125253695825851
IT-ET Glut,Pou3f3,0.08034558650048207
IT-ET Glut,Osbpl3,0.07811235620729517
IT-ET Glut,Cntn6,0.07639088070484801
IT-ET Glut,Otof,0.0741896506832278
IT-ET Glut,Nwd2,0.0719240660479854
IT-ET Glut,Marcksl1,0.06903025042195488
IT-ET Glut,Nos1,0.0684879378090224
IT-ET Glut,Caln1,0.06765064013016642
IT-ET Glut,Cdh20,0.06392264192095432
IT-ET Glut,Ramp1,0.06351901143869332
IT-ET Glut,Col5a1,0.0602719857319588
IT-ET Glut,Adcy2,0.056465364131450646
IT-ET Glut,Medag,0.052982761053644634
IT-ET Glut,Htr1b,0.052820131787992275
IT-ET Glut,Glra3,0.05061708888411787
IT-ET Glut,Hs3st4,0.04336851561589283
IT-ET Glut,Necab1,0.03960394174676529
IT-ET Glut,Grm3,0.03803817936124676
IT-ET Glut,Fosl2,0.03628601820497679
IT-ET Glut,Frzb,0.03284063519231428
IT-ET Glut,Man1a,0.032534629124683856
IT-ET Glut,Syt10,0.017015756369823665
IT-ET Glut,Galnt18,0.015366269534566657
IT-ET Glut,Spon1,0.015074505685720663
IT-ET Glut,Gsta4,0.014356546780801782
IT-ET Glut,Smoc2,0.012299597502857251
IT-ET Glut,Gja1,0.008772392908619198
IT-ET Glut,Kitl,0.008502514350450352
IT-ET Glut,Sv2c,0.006925764647155885
IT-ET Glut,Crym,0.0027635383900240784
IT-ET Glut,Tafa2,-0.00033700045837070647
IT-ET Glut,Foxo1,-0.0004212391439875063
IT-ET Glut,Ccnd2,-0.0005231849714291137
IT-ET Glut,Nr2f1,-0.0013084000738763368
IT-ET Glut,Nptx2,-0.0016071182647827698
IT-ET Glut,Sox10,-0.0018699738637972807
IT-ET Glut,Cbln4,-0.0025905954443408152
IT-ET Glut,Slit3,-0.004176055382934196
IT-ET Glut,Ptprm,-0.009907556230243308
IT-ET Glut,Tox3,-0.011013664111594323
IT-ET Glut,Pdzrn3,-0.017362817149032095
IT-ET Glut,Pde1a,-0.017611165535948325
IT-ET Glut,Gpr83,-0.01860927702310211
IT-ET Glut,Egr2,-0.021417934803308558
IT-ET Glut,Sox5,-0.023967093591614086
IT-ET Glut,Fibcd1,-0.02414220750926721
IT-ET Glut,Slc1a3,-0.025285673546412202
IT-ET Glut,Syt2,-0.026199549879484252
IT-ET Glut,Ccdc3,-0.027468162987471345
IT-ET Glut,Spock3,-0.028172778093677797
IT-ET Glut,Cdkn1a,-0.029730258088983774
IT-ET Glut,Ctss,-0.03154314158909921
IT-ET Glut,Ighm,-0.033043206593345475
IT-ET Glut,Onecut2,-0.035265402325560746
IT-ET Glut,Parm1,-0.03568587819838642
IT-ET Glut,Cxcl14,-0.04274926812479629
IT-ET Glut,Unc5d,-0.045312122730958526
IT-ET Glut,Igfbp6,-0.04913560792663185
IT-ET Glut,Cnr1,-0.05428288609065546
IT-ET Glut,Gpr88,-0.05607999261935759
IT-ET Glut,Bcl11a,-0.056575744355357394
IT-ET Glut,Mog,-0.05716983838798129
IT-ET Glut,Sema3e,-0.06122620415613178
IT-ET Glut,Rprm,-0.06634782043386922
IT-ET Glut,Myo5b,-0.07595528847740063
IT-ET Glut,Unc13c,-0.07668168997516833
IT-ET Glut,Rorb,-0.08238431395063706
IT-ET Glut,Sulf2,-0.08310017183506213
IT-ET Glut,Pcp4l1,-0.0843301544174262
IT-ET Glut,Tox,-0.08547339917148356
IT-ET Glut,A830036E02Rik,-0.08925395225303201
IT-ET Glut,Grik1,-0.09140411431538986
IT-ET Glut,Whrn,-0.09176022001121198
IT-ET Glut,Drd5,-0.09983908468104086
IT-ET Glut,Ust,-0.11794351038700257
IT-ET Glut,Kl,-0.11982749976380203
IT-ET Glut,Fras1,-0.12068943986984171
IT-ET Glut,Opalin,-0.1220061568513855
IT-ET Glut,Ldb2,-0.13166318132201615
IT-ET Glut,Lpl,-0.13328937430866494
IT-ET Glut,Gfap,-0.134426211469165
IT-ET Glut,Pou3f1,-0.1345263564978676
IT-ET Glut,Tshz2,-0.13688355227197668
IT-ET Glut,Kcnk9,-0.14992299996412473
IT-ET Glut,Zfpm2,-0.1608536354784611
IT-ET Glut,St6galnac5,-0.17046677028869817
IT-ET Glut,Igfbp4,-0.17578429481649271
IT-ET Glut,Car4,-0.18923583912925013
IT-ET Glut,Zfhx4,-0.19701865487121273
IT-ET Glut,Cdh6,-0.20862601239633416
IT-ET Glut,Lypd1,-0.22327084014536824
IT-ET Glut,Lhfp,-0.22920890273207273
IT-ET Glut,Ptk2b,-0.2370289574266109
IT-ET Glut,Dscaml1,-0.24521117094993206
IT-ET Glut,Calb1,-0.2587242874079383
IT-ET Glut,Rgs4,-0.2969385563505702
IT-ET Glut,Stxbp6,-0.3252242210272369
IT-ET Glut,Nrp1,-0.3256747591520459
IT-ET Glut,Lmo3,-0.335770439782729
IT-ET Glut,Rab3b,-0.4488773577442289
IT-ET Glut,Lamp5,-0.7200847627924736
IT-ET Glut,Ndst4,-0.7578569052585673
IT-ET Glut,Npy2r,-1.1808928569563486
IT-ET Glut,Bcl11b,-1.2527989162538673
IT-ET Glut,Cyp26b1,-2.6984710899283444
NP-CT-L6b Glut,Nrp1,0.2564354424104234
NP-CT-L6b Glut,Syt6,0.25090899774501674
NP-CT-L6b Glut,Zfpm2,0.23752467792113774
NP-CT-L6b Glut,Col5a1,0.23306852742364625
NP-CT-L6b Glut,Rprm,0.22598982998824002
NP-CT-L6b Glut,Necab1,0.19274179799243685
NP-CT-L6b Glut,Nptx2,0.1923865510657835
NP-CT-L6b Glut,Kcnk9,0.19163006566059648
NP-CT-L6b Glut,Rgs4,0.19127354266707597
NP-CT-L6b Glut,Crym,0.16433598568985996
NP-CT-L6b Glut,Abi3bp,0.15376318337016104
NP-CT-L6b Glut,Lhfp,0.15084502653349485
NP-CT-L6b Glut,Sox5,0.1486038334612112
NP-CT-L6b Glut,Pou3f3,0.11521931747689729
NP-CT-L6b Glut,Grm3,0.10815205101089209
NP-CT-L6b Glut,Nfib,0.10496203183023656
NP-CT-L6b Glut,Galnt14,0.10489948311146724
NP-CT-L6b Glut,Sema5a,0.09987407605462761
NP-CT-L6b Glut,Grm8,0.09682298135298617
NP-CT-L6b Glut,Slc38a1,0.09180869276033077
NP-CT-L6b Glut,Fosl2,0.08844252848513778
NP-CT-L6b Glut,Rgs6,0.08828313333665827
NP-CT-L6b Glut,Dscaml1,0.0850338831896843
NP-CT-L6b Glut,Vwc2l,0.08351463000676917
NP-CT-L6b Glut,Zeb2,0.08212117798564023
NP-CT-L6b Glut,Nrn1,0.07951771669219898
NP-CT-L6b Glut,Sv2b,0.07769331222703812
NP-CT-L6b Glut,Grik3,0.07640447779113857
NP-CT-L6b Glut,Ramp3,0.07483012923544996
NP-CT-L6b Glut,Hs3st4,0.07412610804899433
NP-CT-L6b Glut,Osbpl3,0.07332092864120121
NP-CT-L6b Glut,Hs3st2,0.07118369368341781
NP-CT-L6b Glut,Cyp26b1,0.06589611413868646
NP-CT-L6b Glut,Spock3,0.06348914461305466
NP-CT-L6b Glut,Cacng3,0.058434870068916345
NP-CT-L6b Glut,Synpr,0.056366366891180464
NP-CT-L6b Glut,Nxph4,0.05434537542633677
NP-CT-L6b Glut,Lmo3,0.05221061418255213
NP-CT-L6b Glut,Galnt18,0.05040974579883184
NP-CT-L6b Glut,Cxcl14,0.050140006919980884
NP-CT-L6b Glut,Ccnd2,0.048079188041183496
NP-CT-L6b Glut,Slc17a6,0.04646718163309416
NP-CT-L6b Glut,Zbtb16,0.046098099054005526
NP-CT-L6b Glut,Bcl11a,0.04563953619263472
NP-CT-L6b Glut,Kcng1,0.04430105876787693
NP-CT-L6b Glut,Lypd1,0.038774265960037746
NP-CT-L6b Glut,Cbln2,0.036675274492426135
NP-CT-L6b Glut,Ccn4,0.036641741044620924
NP-CT-L6b Glut,Ramp1,0.03440588191536775
NP-CT-L6b Glut,Nr4a3,0.030594115884903794
NP-CT-L6b Glut,Adcy2,0.03012063880272553
NP-CT-L6b Glut,Arhgap25,0.02922487340819735
NP-CT-L6b Glut,Myo5b,0.026981752597719844
NP-CT-L6b Glut,Grik1,0.025178993500379776
NP-CT-L6b Glut,Epha4,0.02460708313681903
NP-CT-L6b Glut,Lpar1,0.022018190320784337
NP-CT-L6b Glut,Whrn,0.017840927078234592
NP-CT-L6b Glut,Samd5,0.016291929188375076
NP-CT-L6b Glut,Ccn3,0.0141627138418281
NP-CT-L6b Glut,Aqp4,0.01276993123187431
NP-CT-L6b Glut,Ldb2,0.01093191494512502
NP-CT-L6b Glut,Tbcc,0.009582753030269564
NP-CT-L6b Glut,Clic5,0.008551705074585914
NP-CT-L6b Glut,Pvalb,0.008329101901816238
NP-CT-L6b Glut,Nxph1,0.008171269931615766
NP-CT-L6b Glut,Grin2c,0.004519032573473192
NP-CT-L6b Glut,Sox10,0.004359163883271067
NP-CT-L6b Glut,Serpine2,0.004256614561325978
NP-CT-L6b Glut,Kazald1,0.002162550030454624
NP-CT-L6b Glut,Slc32a1,0.0019034104318690348
NP-CT-L6b Glut,Ctss,0.0005202890519555581
NP-CT-L6b Glut,Cldn5,-0.000567235059555582
NP-CT-L6b Glut,Moxd1,-0.0019403830408590839
NP-CT-L6b Glut,Stxbp6,-0.0025334435624748686
NP-CT-L6b Glut,Pdzrn3,-0.0035465394152773833
NP-CT-L6b Glut,Ptk2b,-0.003848428731707987
NP-CT-L6b Glut,Sema3e,-0.004391712149001359
NP-CT-L6b Glut,Bcl11b,-0.0050128519245802305
NP-CT-L6b Glut,Sox2,-0.00560317238415764
NP-CT-L6b Glut,Cntn6,-0.00824733370849362
NP-CT-L6b Glut,Gja1,-0.008282871026302319
NP-CT-L6b Glut,Parm1,-0.011812857072937222
NP-CT-L6b Glut,Drd1,-0.012611218896679377
NP-CT-L6b Glut,St3gal1,-0.012960844640290903
NP-CT-L6b Glut,Chrm3,-0.013664393192724944
NP-CT-L6b Glut,Igfbp4,-0.015310807008642957
NP-CT-L6b Glut,Slc1a3,-0.01613022181634749
NP-CT-L6b Glut,Igfbp6,-0.016292374132416576
NP-CT-L6b Glut,Htr2a,-0.016477218716040243
NP-CT-L6b Glut,Gad2,-0.017328429893429753
NP-CT-L6b Glut,Slc17a8,-0.01885989056369386
NP-CT-L6b Glut,Hopx,-0.022236236676861365
NP-CT-L6b Glut,Qpct,-0.025028463922728506
NP-CT-L6b Glut,Lrp4,-0.025810789023914538
NP-CT-L6b Glut,Pcp4l1,-0.02644924449473729
NP-CT-L6b Glut,Tox,-0.027805850084220873
NP-CT-L6b Glut,Egr2,-0.029366115575125917
NP-CT-L6b Glut,Sorcs3,-0.030021195055145444
